,matchId,playerId,interveningOpponents,interveningTeammates,minute,second,outcome,converted_seconds,distance,angle,angle_degrees,interferenceOnShooter_encoded,bodyPart_head,bodyPart_left foot,bodyPart_other,bodyPart_right foot,playType_free kick,playType_olimpico,playType_open play,playType_penalty
0,m_91,p_103,1,0,71.0,9,goal,1.0,17.530810021216933,-0.6945191701528826,-39.793017240688464,2.0,False,False,False,True,False,False,True,False
1,m_17,p_16,3,0,56.0,4,saved by keeper,1.0,17.090313045699308,0.982793723247329,56.309932474020215,2.0,False,True,False,False,False,False,True,False
2,m_111,p_88,6,2,87.0,31,saved by keeper,1.0,29.456534079894737,-0.0424481529311416,-2.432100011080288,1.0,False,True,False,False,True,False,False,False
3,m_142,p_87,4,1,78.0,2,missed chance,1.0,26.94856025838857,0.03711625519324213,2.126604773903298,2.0,False,False,False,True,False,False,True,False
4,m_117,p_9,2,0,77.0,46,goal,1.0,11.932141467481856,0.4546523493760151,26.049660764953035,2.0,False,False,False,True,False,False,True,False
5,m_147,p_118,1,0,41.0,15,missed chance,1.0,5.691230095506595,-0.26671436996865683,-15.281607734694827,1.0,True,False,False,False,False,False,True,False
6,m_88,p_101,3,0,89.0,8,missed chance,1.0,14.513927793674599,-0.08623099718913342,-4.94067220214181,2.0,True,False,False,False,False,False,True,False
7,m_66,p_61,1,0,11.0,29,missed chance,1.0,10.27329061206778,0.5071930491590024,29.060021115182128,1.0,True,False,False,False,False,False,True,False
8,m_132,p_84,3,0,59.0,45,blocked shot,1.0,23.473306115671054,-0.05327717940994767,-3.052557524551291,2.0,False,True,False,False,False,False,True,False
9,m_99,p_30,2,1,44.0,55,blocked shot,1.0,9.371792784734414,0.43978579044869137,25.197869682534847,2.0,False,True,False,False,False,False,True,False
10,m_101,p_45,2,0,7.0,45,saved by keeper,1.0,14.11385135248349,-0.7853981633974483,-45.0,2.0,True,False,False,False,False,False,True,False
11,m_158,p_110,3,0,6.0,42,blocked shot,1.0,15.556712377620151,-0.853175735787221,-48.88336884357639,1.0,False,False,False,True,False,False,True,False
12,m_11,p_79,2,0,55.0,41,saved by keeper,1.0,15.971890933762353,0.674936502991569,38.67101306073577,2.0,False,False,False,True,False,False,True,False
13,m_204,p_85,3,0,17.0,29,missed chance,1.0,11.590017256242547,-0.32857173100283904,-18.82577345377046,2.0,True,False,False,False,False,False,True,False
14,m_108,p_44,2,0,89.0,44,saved by keeper,1.0,23.02234132315825,0.6931254640697124,39.71316376424111,1.0,False,False,False,True,False,False,True,False
15,m_169,p_129,2,0,51.0,44,saved by keeper,1.0,5.80152566141011,1.1271922938289876,64.58336113607118,2.0,True,False,False,False,False,False,True,False
16,m_7,p_30,4,1,91.0,6,saved by keeper,1.0,22.974030991534768,0.05443613995014002,3.1189610721265146,2.0,False,False,False,True,False,False,True,False
17,m_27,p_116,1,1,19.0,37,saved by keeper,1.0,7.287503001714648,-0.9069850822123401,-51.966417292093084,1.0,True,False,False,False,False,False,True,False
18,m_1,p_159,3,0,49.0,28,missed chance,1.0,29.81250241090137,-0.33246405134620505,-19.048786981958244,2.0,False,False,False,True,False,False,True,False
19,m_68,p_147,2,0,46.0,26,blocked shot,1.0,8.437298145733621,0.9742469228147176,55.82023688089099,2.0,True,False,False,False,False,False,True,False
20,m_203,p_105,2,0,43.0,37,blocked shot,1.0,17.48082663949277,0.7348135683835545,42.10171619732538,3.0,False,False,False,True,False,False,True,False
21,m_124,p_89,4,0,13.0,17,saved by keeper,1.0,11.296924360196453,0.5329807426890147,30.53754711782865,1.0,False,False,False,True,False,False,True,False
22,m_186,p_109,1,0,12.0,51,saved by keeper,1.0,12.876272752625272,-0.15595588223983387,-8.935613842581752,1.0,False,False,False,True,False,False,True,False
23,m_140,p_143,1,0,89.0,20,goal,1.0,8.784816446574169,0.6041047797908426,34.61265426569527,1.0,True,False,False,False,False,False,True,False
