channel_id,channel_link,channel_name,channel_type,country,country_rank,created_date,daily_subs_average,daily_views_average,estimated_monthly_income,people_rank,social_blade_rank,socialblade_url,subscriber_rank,subscribers,subscribers_last_30_days,uploads,video_view_rank,views,views_last_30_days,yearly_income,
@answeredthatforyou,https://youtube.com/@answeredthatforyou,Answered That For You,entertainment,US,729th,"Jan 4th, 2023",+8.33K,"8,910,872",€60.8K - €973.1K,750th,3rd,https://socialblade.com/youtube/channel/UClWKFXdU50yb6ZGwQXtLlQw,966th,4.03M,250K,1347,"2,547th",4035906101,267.326M,€729.8K - €11.7M,
@nickandcarrie,https://youtube.com/@nickandcarrie,NickandCarrie,people,AU,23rd,"Jul 2nd, 2019",+10K,"14,995,878",€102.3K - €1.6M,229th,214th,https://socialblade.com/youtube/channel/UCR1Jltq7vMzGQVtRd-DR5AA,547th,8.17M,300K,1067,850th,8260789746,449.876M,€1.2M - €19.7M,
@4nonblondesofficial,https://youtube.com/@4nonblondesofficial,4 Non Blondes,N/A,US,960th,"Feb 2nd, 2023",334,"666,267",€4.5K - €72.8K,--,7th,https://socialblade.com/youtube/channel/UCCgMsiNiRDhisYQk7t3MNqw,"1,201st",1.7M,10K,2,"6,619th",2014136079,19.988M,€54.6K - €873.1K,
@jasminandjames,https://youtube.com/@jasminandjames,Jasmin and James,entertainment,AU,133rd,"Sep 12th, 2021",+40K,"17,116,870",€116.8K - €1.9M,--,352nd,https://socialblade.com/youtube/channel/UC5OVPGQqCUm0CCyVzELGITQ,"1,155th",2.48M,1.2M,2570,"15,960th",1175498087,513.506M,€1.4M - €22.4M,
@mavigadgets,https://youtube.com/@mavigadgets,MaviGadget,entertainment,US,66th,"Nov 19th, 2017",+66.6K,"69,789,280",€476.3K - €7.6M,75th,8th,https://socialblade.com/youtube/channel/UCJfNJmcv6LXCDsaa2kB_-7A,177th,28.7M,2M,4846,103rd,25521582943,2.094B,€5.7M - €91.5M,
@jiembasands,https://youtube.com/@jiembasands,Jiemba Sands,people,AU,13th,"Apr 19th, 2012",+12.3K,"8,580,579",€58.6K - €937K,137th,"1,067th",https://socialblade.com/youtube/channel/UCDb8-E9XyZnyAA7QB_SD8Sg,365th,10M,370K,572,"1,562nd",5662717481,257.417M,€702.7K - €11.2M,
@depechemodevevo,https://youtube.com/@depechemodevevo,DepecheModeVEVO,music,US,"1,685th","Jan 3rd, 2010",--,"64,366,222",€439.3K - €7M,"1,527th",9th,https://socialblade.com/youtube/channel/UC90vR_MFeheV3V6nmjvXIng,"1,951st",369K,--,170,"4,406th",2690602696,1.931B,€5.3M - €84.3M,
@diaryof4,https://youtube.com/@diaryof4,Diary of 4,people,CA,23rd,"Oct 20th, 2008",+32.6K,"56,830,004",€387.9K - €6.2M,154th,17th,https://socialblade.com/youtube/channel/UCT6zcE-d5Rlc2xto-1lNjgA,398th,9.9M,980K,2304,296th,15674988097,1.705B,€4.7M - €74.5M,
@secretvlog,https://youtube.com/@secretvlog,Secret Vlog,comedy,DE,8th,"Dec 24th, 2019",+16.6K,"19,206,720",€131.1K - €2.1M,60th,188th,https://socialblade.com/youtube/channel/UCgqy_Kgctp5quGUsvIyqKVw,329th,12.8M,500K,2595,369th,13574038361,576.202M,€1.6M - €25.2M,
@lefootenvideo,https://youtube.com/@lefootenvideo,LE FOOT EN VIDÉO,sports,FR,172nd,"Jun 29th, 2017",+17K,"14,352,935",€98K - €1.6M,258th,273rd,https://socialblade.com/youtube/channel/UC960cXgEv6mCZ5iGnWSd0oQ,"1,149th",2.25M,510K,248,"11,289th",1365496455,430.588M,€1.2M - €18.8M,
@mrbeast,https://youtube.com/@mrbeast,MrBeast,entertainment,US,1st,"Feb 20th, 2012",+200K,"66,275,582",€452.3K - €7.2M,1st,11th,https://socialblade.com/youtube/channel/UCX6OQ3DkcsbYNE6H8uQQuVA,2nd,259M,6M,794,23rd,49013743635,1.988B,€5.4M - €86.8M,
@howridiculous,https://youtube.com/@howridiculous,How Ridiculous,sports,AU,4th,"Sep 9th, 2009",+6.66K,"6,497,428",€44.3K - €709.5K,7th,"1,177th",https://socialblade.com/youtube/channel/UC5f5IV0Bf79YLp_p9nfInRA,243rd,21.4M,200K,715,431st,12226611773,194.923M,€532.1K - €8.5M,
@boxtoxtv,https://youtube.com/@boxtoxtv,boxtoxtv,comedy,DE,5th,"Aug 28th, 2022",+26.6K,"20,083,026",€137.1K - €2.2M,29th,175th,https://socialblade.com/youtube/channel/UCCfKlFlKYBxZ-UU2dWc17IQ,261st,19.7M,800K,1189,319th,14749384187,602.491M,€1.6M - €26.3M,
@sierrarhiafam,https://youtube.com/@sierrarhiafam,Sierra & Rhia FAM,entertainment,CA,9th,"Feb 4th, 2020",+23.3K,"29,219,450",€199.4K - €3.2M,164th,55th,https://socialblade.com/youtube/channel/UCe6n0z9UbsxYCS8P83f84tw,296th,16.1M,700K,3072,260th,16344956383,876.583M,€2.4M - €38.3M,
@tiboinshape,https://youtube.com/@tiboinshape,Tibo InShape,entertainment,FR,2nd,"Aug 15th, 2008",+40K,"30,710,094",€209.6K - €3.4M,144th,88th,https://socialblade.com/youtube/channel/UCpWaR3gNAQGsX48cIlQC0qw,275th,18.5M,1.2M,3011,466th,12001454499,921.303M,€2.5M - €40.2M,
@tsurikishow,https://youtube.com/@tsurikishow,Tsuriki Show,comedy,DE,1st,"Jul 10th, 2019",+13.3K,"11,293,400",€77.1K - €1.2M,12th,375th,https://socialblade.com/youtube/channel/UCymK_3BWUcoYVVf5D_GmACQ,161st,30.2M,400K,3936,37th,37781772249,338.802M,€924.9K - €14.8M,
@chochar1979,https://youtube.com/@chochar1979,شوشع الاسطورة,people,FR,581st,"Jul 30th, 2022",+6.6K,"8,099,510",€55.3K - €884.5K,"1,268th",930th,https://socialblade.com/youtube/channel/UCrnGvTAge7z-MO5GjGVVYXQ,"1,705th",641K,198K,2227,"26,383rd",685849779,242.985M,€663.3K - €10.6M,
@borzah,https://youtube.com/@borzah,Borzah,entertainment,CA,108th,"Feb 11th, 2020",--,"-7,492,499",€0 - €0,753rd,134th,https://socialblade.com/youtube/channel/UC4aNrJsAGP-uTi2pSm63-SA,969th,3.95M,--,1923,"9,161st",1547304047,-224.775M,€0 - €0,
