channel_id,channel_link,channel_name,channel_type,country,country_rank,created_date,daily_subs_average,daily_views_average,estimated_monthly_income,people_rank,social_blade_rank,socialblade_url,subscriber_rank,subscribers,subscribers_last_30_days,uploads,video_view_rank,views,views_last_30_days,yearly_income
@answeredthatforyou,https://youtube.com/@answeredthatforyou,Answered That For You,entertainment,US,729th,"Jan 4th, 2023",8330.0,8910872.0,516950.0,750th,3rd,https://socialblade.com/youtube/channel/UClWKFXdU50yb6ZGwQXtLlQw,966th,4030000.0,250K,1347.0,"2,547th",4035906101.0,267326000.0,6214900.0
@nickandcarrie,https://youtube.com/@nickandcarrie,NickandCarrie,people,AU,23rd,"Jul 2nd, 2019",10000.0,14995878.0,851150.0,229th,214th,https://socialblade.com/youtube/channel/UCR1Jltq7vMzGQVtRd-DR5AA,547th,8170000.0,300K,1067.0,850th,8260789746.0,449876000.0,10450000.0
@4nonblondesofficial,https://youtube.com/@4nonblondesofficial,4 Non Blondes,N/A,US,960th,"Feb 2nd, 2023",334.0,666267.0,38650.0,--,7th,https://socialblade.com/youtube/channel/UCCgMsiNiRDhisYQk7t3MNqw,"1,201st",1700000.0,10K,2.0,"6,619th",2014136079.0,19988000.0,463850.0
@jasminandjames,https://youtube.com/@jasminandjames,Jasmin and James,entertainment,AU,133rd,"Sep 12th, 2021",40000.0,17116870.0,1008400.0,--,352nd,https://socialblade.com/youtube/channel/UC5OVPGQqCUm0CCyVzELGITQ,"1,155th",2480000.0,1.2M,2570.0,"15,960th",1175498087.0,513506000.0,11900000.0
@mavigadgets,https://youtube.com/@mavigadgets,MaviGadget,entertainment,US,66th,"Nov 19th, 2017",66600.0,69789280.0,4038150.0,75th,8th,https://socialblade.com/youtube/channel/UCJfNJmcv6LXCDsaa2kB_-7A,177th,28700000.0,2M,4846.0,103rd,25521582943.0,2094000000.0,48600000.0
@jiembasands,https://youtube.com/@jiembasands,Jiemba Sands,people,AU,13th,"Apr 19th, 2012",12300.0,8580579.0,497800.0,137th,"1,067th",https://socialblade.com/youtube/channel/UCDb8-E9XyZnyAA7QB_SD8Sg,365th,10000000.0,370K,572.0,"1,562nd",5662717481.0,257417000.0,5951350.0
@depechemodevevo,https://youtube.com/@depechemodevevo,DepecheModeVEVO,music,US,"1,685th","Jan 3rd, 2010",,64366222.0,3719650.0,"1,527th",9th,https://socialblade.com/youtube/channel/UC90vR_MFeheV3V6nmjvXIng,"1,951st",369000.0,--,170.0,"4,406th",2690602696.0,1931000000.0,44800000.0
@diaryof4,https://youtube.com/@diaryof4,Diary of 4,people,CA,23rd,"Oct 20th, 2008",32600.0,56830004.0,3293950.0,154th,17th,https://socialblade.com/youtube/channel/UCT6zcE-d5Rlc2xto-1lNjgA,398th,9900000.0,980K,2304.0,296th,15674988097.0,1705000000.0,39600000.0
@secretvlog,https://youtube.com/@secretvlog,Secret Vlog,comedy,DE,8th,"Dec 24th, 2019",16600.0,19206720.0,1115550.0,60th,188th,https://socialblade.com/youtube/channel/UCgqy_Kgctp5quGUsvIyqKVw,329th,12800000.0,500K,2595.0,369th,13574038361.0,576202000.0,13400000.0
@lefootenvideo,https://youtube.com/@lefootenvideo,LE FOOT EN VIDÉO,sports,FR,172nd,"Jun 29th, 2017",17000.0,14352935.0,849000.0,258th,273rd,https://socialblade.com/youtube/channel/UC960cXgEv6mCZ5iGnWSd0oQ,"1,149th",2250000.0,510K,248.0,"11,289th",1365496455.0,430588000.0,10000000.0
@mrbeast,https://youtube.com/@mrbeast,MrBeast,entertainment,US,1st,"Feb 20th, 2012",200000.0,66275582.0,3826150.0,1st,11th,https://socialblade.com/youtube/channel/UCX6OQ3DkcsbYNE6H8uQQuVA,2nd,259000000.0,6M,794.0,23rd,49013743635.0,1988000000.0,46100000.0
@howridiculous,https://youtube.com/@howridiculous,How Ridiculous,sports,AU,4th,"Sep 9th, 2009",6660.0,6497428.0,376900.0,7th,"1,177th",https://socialblade.com/youtube/channel/UC5f5IV0Bf79YLp_p9nfInRA,243rd,21400000.0,200K,715.0,431st,12226611773.0,194923000.0,4516050.0
