channel_id,channel_link,channel_name,channel_type,country,country_rank,created_date,daily_subs_average,daily_views_average,estimated_monthly_income,people_rank,social_blade_rank,socialblade_url,subscriber_rank,subscribers,subscribers_last_30_days,uploads,video_view_rank,views,views_last_30_days,yearly_income
@cool_items,https://youtube.com/@cool_items,Cool Items,,US,836th,"Nov 23rd, 2022",+20K,"+17,971,745",€122.7K - €2M,--,174th,https://socialblade.com/youtube/channel/UCzE5p2i2GwG2WJ8cZANC6pg,"1,075th",3.02M,600K,997,"4,423rd",2767449150,539.152M,€1.5M - €23.6M
@fabiosabestlifehacks,https://youtube.com/@fabiosabestlifehacks,Fabiosa Best Lifehacks,howto,US,200th,"Oct 14th, 2019",+36.6K,"+17,224,465",€117.6K - €1.9M,37th,180th,https://socialblade.com/youtube/channel/UCF5Rp2ghzXsX6vwYqa7aepg,336th,12.2M,1.1M,1418,987th,7516408626,516.734M,€1.4M - €22.6M
@anhcucai,https://youtube.com/@anhcucai,Anh Củ Cải,entertainment,US,173rd,"Mar 22nd, 2020",+23.3K,"+19,406,403",€132.4K - €2.1M,176th,212th,https://socialblade.com/youtube/channel/UCl0sZ8DxC35w46AaEpQRTxg,309th,15M,700K,2627,608th,10079162671,582.192M,€1.6M - €25.4M
@annakovaofficial,https://youtube.com/@annakovaofficial,ANNA KOVA,people,US,115th,"Feb 3rd, 2020",+26.6K,"+21,497,771",€146.7K - €2.3M,42nd,219th,https://socialblade.com/youtube/channel/UCb06IKdt8yeJDhqUct0z-gQ,245th,21.3M,800K,3839,164th,20355054464,644.933M,€1.8M - €28.2M
@thatlittlepuff,https://youtube.com/@thatlittlepuff,That Little Puff,animals,US,53rd,"Aug 29th, 2020",+20K,"+19,399,236",€132.4K - €2.1M,1st,176th,https://socialblade.com/youtube/channel/UClFN9LShD_Pv0wnSeUKbUZw,152nd,31.2M,600K,914,92nd,26075579889,581.977M,€1.6M - €25.4M
@bebefinn,https://youtube.com/@bebefinn,Bebefinn - Nursery Rhymes & Kids Songs,entertainment,US,136th,"Mar 30th, 2022",+30K,"+13,302,662",€90.8K - €1.5M,138th,216th,https://socialblade.com/youtube/channel/UC-cY4X2sLECUhishGNiyofQ,268th,19.1M,900K,511,721st,9127990266,399.08M,€1.1M - €17.4M
@theh3ro,https://youtube.com/@theh3ro,The H3ro,,US,"1,429th","Mar 9th, 2022",-33,"+17,621,485",€120.3K - €1.9M,--,205th,https://socialblade.com/youtube/channel/UCOOIAv87GGLWNn6Zl_Rettg,"1,686th",614K,-1K,724,"31,718th",533577858,528.645M,€1.4M - €23.1M
@serieshouse_k,https://youtube.com/@serieshouse_k,Series House,,US,"1,035th","Jun 25th, 2006",+10.8K,"+16,217,586",€110.7K - €1.8M,--,213th,https://socialblade.com/youtube/channel/UCvwpXJEm2AG3Ymw8KV5cytw,"1,282nd",1.07M,324K,214,"12,470th",1333151108,486.528M,€1.3M - €21.3M
@houseofhighlights,https://youtube.com/@houseofhighlights,House of Highlights,sports,US,186th,"Jan 23rd, 2018",+13.3K,"+17,441,179",€119K - €1.9M,16th,229th,https://socialblade.com/youtube/channel/UCqQo7ewe87aYAe7ub5UqXMw,322nd,13.5M,400K,44386,241st,16764224368,523.235M,€1.4M - €22.9M
@brookemonk,https://youtube.com/@brookemonk,Brooke Monk,people,US,509th,"Jul 29th, 2019",+15.3K,"+18,407,551",€125.6K - €2M,357th,228th,https://socialblade.com/youtube/channel/UC73sF-7Ihcs1HpnXEEXZ2ew,741st,6.3M,460K,1683,"1,695th",5413459486,552.227M,€1.5M - €24.1M
@rudolfio78,https://youtube.com/@rudolfio78,Rudolfio,entertainment,US,466th,"Jun 13th, 2021",+16K,"+14,401,403",€98.3K - €1.6M,491st,240th,https://socialblade.com/youtube/channel/UCUMPlgTI685TukAJrDESb-w,695th,6.73M,480K,6018,"1,418th",6015401083,432.042M,€1.2M - €18.9M
@coolsmartgadget,https://youtube.com/@coolsmartgadget,Cool Smart Gadget,,US,"1,088th","Nov 18th, 2022",+30.5K,"+17,817,611",€121.6K - €1.9M,--,239th,https://socialblade.com/youtube/channel/UCREnkDGyHhKaOHEOKIr3a6w,"1,336th",1.1M,917K,220,"29,608th",662347065,534.528M,€1.5M - €23.3M
@genevievesplayhouse,https://youtube.com/@genevievesplayhouse,Genevieve's Playhouse - Learning Videos for …,film,US,28th,"Jan 6th, 2016",+16.6K,"+15,736,949",€107.4K - €1.7M,6th,232nd,https://socialblade.com/youtube/channel/UCK5Q72Uyo73uRPk8PmM2A3w,94th,40.5M,500K,637,58th,30401605547,472.108M,€1.3M - €20.6M
@a4a4a4a4,https://youtube.com/@a4a4a4a4,A4,entertainment,US,15th,"Nov 29th, 2014",+30K,"+17,800,841",€121.5K - €1.9M,11th,182nd,https://socialblade.com/youtube/channel/UC2tsySbe9TNrI-xh2lximHA,46th,54.2M,900K,907,73rd,28334416558,534.025M,€1.5M - €23.3M
@game9bit,https://youtube.com/@game9bit,Game9bit,games,US,193rd,"Jun 6th, 2023",+53.3K,"+16,088,487",€109.8K - €1.8M,70th,198th,https://socialblade.com/youtube/channel/UCL0X8jPuUk7u11YmmWg8f_Q,329th,13M,1.6M,2603,"2,541st",4119678391,482.655M,€1.3M - €21.1M
@minikatanastore,https://youtube.com/@minikatanastore,Mini Katana,,US,210th,"May 12th, 2021",+40K,"+21,286,661",€145.3K - €2.3M,--,147th,https://socialblade.com/youtube/channel/UCy_WCbqwp5ZZ4zNwAyMChiA,346th,11.3M,1.2M,1759,"1,254th",6614616401,638.6M,€1.7M - €27.9M
@jojosim,https://youtube.com/@jojosim,Jojo Sim,entertainment,US,190th,"Jan 28th, 2013",+20K,"+19,078,230",€130.2K - €2.1M,193rd,148th,https://socialblade.com/youtube/channel/UChK6a3Ro3po3fUfAm3_MyUQ,326th,13.1M,600K,2217,266th,16154807748,572.347M,€1.6M - €25M
,,Animal World,games,US,871st,"Jun 30th, 2019",+65.6K,"+18,873,776",€128.8K - €2.1M,597th,150th,https://socialblade.com/youtube/channel/UCWdyQhIoP-EoJxz3WZrB7Wg,"1,110th",2.57M,1.97M,318,"22,797th",721166331,566.213M,€1.5M - €24.7M
@yana.chirkina,https://youtube.com/@yana.chirkina,YANA CHIRKINA,howto,US,190th,"Jul 24th, 2018",+36.6K,"+24,481,046",€167.1K - €2.7M,31st,136th,https://socialblade.com/youtube/channel/UCC1RmztYmOIuTGiw_G73fLg,326th,13.3M,1.1M,1988,704th,9430448163,734.431M,€2M - €32.1M
@themanniishow,https://youtube.com/@themanniishow,The Mannii Show,comedy,US,208th,"Dec 16th, 2020",+16.6K,"+20,825,689",€142.1K - €2.3M,72nd,132nd,https://socialblade.com/youtube/channel/UC3iwxKMRg5l2aDG_8XK2nSQ,344th,11.3M,500K,3141,527th,11091451667,624.771M,€1.7M - €27.3M
@dbillions,https://youtube.com/@dbillions,D Billions,entertainment,US,59th,"Jul 27th, 2019",+10K,"+17,965,864",€122.6K - €2M,67th,195th,https://socialblade.com/youtube/channel/UCi3onjs7UU2Z64i3RrVci-Q,162nd,30M,300K,1032,31st,38465873506,538.976M,€1.5M - €23.5M
@omarespn,https://youtube.com/@omarespn,Omar Raja - ESPN,sports,US,191st,"Feb 26th, 2007",+10K,"+19,965,440",€136.3K - €2.2M,19th,164th,https://socialblade.com/youtube/channel/UCx18ywTcohtS9lpNXt8noWQ,327th,12.9M,300K,3017,152nd,21298372295,598.963M,€1.6M - €26.2M
@nicothepomeranian,https://youtube.com/@nicothepomeranian,Nico_thepomeranian,,US,204th,"Jun 7th, 2022",+30K,"+19,657,800",€134.2K - €2.1M,--,161st,https://socialblade.com/youtube/channel/UCctDQlR34dhq8p3vSKfh8dg,340th,11.8M,900K,442,638th,9837627885,589.734M,€1.6M - €25.8M
@cinemahome.,https://youtube.com/@cinemahome.,Cinema Home,,US,"1,000th","Apr 13th, 2022",+8.33K,"+19,556,697",€133.5K - €2.1M,--,125th,https://socialblade.com/youtube/channel/UCvLZSZGK88zLOe8R2sO5KKA,"1,243rd",1.36M,250K,870,"5,587th",2354551150,586.701M,€1.6M - €25.6M
@albert_cancook,https://youtube.com/@albert_cancook,albert_cancook,howto,US,132nd,"Nov 23rd, 2020",+23.3K,"+18,433,734",€125.8K - €2M,11th,123rd,https://socialblade.com/youtube/channel/UC0NkSnlCOhoODbykzZwpiDw,264th,19.4M,700K,699,345th,13966176866,553.012M,€1.5M - €24.2M
@martaandrustam,https://youtube.com/@martaandrustam,Marta and Rustam,comedy,US,47th,"Jun 21st, 2021",+33.3K,"+21,901,095",€149.5K - €2.4M,9th,121st,https://socialblade.com/youtube/channel/UCm-Qr3k89gtXcuv2jL29XFw,145th,32.1M,1M,1072,87th,26988002348,657.033M,€1.8M - €28.7M
@dylan_anderson,https://youtube.com/@dylan_anderson,Dylan Anderson,entertainment,US,202nd,"Sep 5th, 2010",+10K,"+24,213,681",€165.3K - €2.6M,205th,120th,https://socialblade.com/youtube/channel/UCpuT8AlP9P9EgW_pZ0_xInQ,338th,11.9M,300K,2145,125th,23631050584,726.41M,€2M - €31.7M
@bonku.movies,https://youtube.com/@bonku.movies,Bonku,film,US,451st,"Dec 30th, 2019",+9K,"+23,229,007",€158.5K - €2.5M,164th,119th,https://socialblade.com/youtube/channel/UCqVh-bqh0u3j8Zvb4_j9FUA,680th,6.8M,270K,679,"1,132nd",6821850348,696.87M,€1.9M - €30.4M
@amwayhomegoodies,https://youtube.com/@amwayhomegoodies,Amway Home Goodies,,US,"1,005th","Oct 22nd, 2017",+26K,"+23,598,716",€161.1K - €2.6M,--,128th,https://socialblade.com/youtube/channel/UCi-vnafh8GB-OhXC9z7kqAA,"1,249th",1.49M,781K,232,"13,779th",1287782859,707.961M,€1.9M - €30.9M
@howtoanimating,https://youtube.com/@howtoanimating,HowToAnimating,,US,"1,088th","Sep 23rd, 2017",+17.8K,"+10,435,656",€71.2K - €1.1M,--,403rd,https://socialblade.com/youtube/channel/UC4i3GLAG0G9IH-VT9GxOmrQ,"1,336th",1.03M,534K,1723,"35,534th",528982452,313.07M,€854.7K - €13.7M
,,USA VS FRANCE,people,US,"1,274th","Aug 13th, 2021",+25.3K,"+23,954,628",€163.5K - €2.6M,"1,098th",110th,https://socialblade.com/youtube/channel/UCZSCu6ZEClV54UkVQHr3lpg,"1,528th",763K,761K,175,"22,883rd",718810616,718.639M,€2M - €31.4M
@lankybox,https://youtube.com/@lankybox,LankyBox,games,US,35th,"Jul 30th, 2016",+30K,"+24,436,334",€166.8K - €2.7M,9th,115th,https://socialblade.com/youtube/channel/UCSf0s2ogUVYpJPuzW1zpAOg,111th,37.2M,900K,11418,25th,42533308964,733.09M,€2M - €32M
@inspirhistoires,https://youtube.com/@inspirhistoires,InspirHistoires,entertainment,FR,292nd,"Jul 10th, 2023",+3K,"+1,016,328",€6.9K - €111K,"1,065th","15,997th",https://socialblade.com/youtube/channel/UCZA9hI7Hjc3zKuC7c0JXchg,"1,294th",996K,90K,305,"91,345th",190777847,30.49M,€83.2K - €1.3M
@kivenro,https://youtube.com/@kivenro,Kivenro,sports,FR,592nd,"Jun 9th, 2019",+2.66K,"+1,034,172",€7.1K - €112.9K,726th,"16,036th",https://socialblade.com/youtube/channel/UCR5oDhM18tC-xWhZo_EapOw,"1,718th",603K,80K,329,"70,013th",253365042,31.025M,€84.7K - €1.4M
@rksaskr,https://youtube.com/@rksaskr,AskR,,AU,"1,555th","Jun 5th, 2023",+184,"+671,415",€4.6K - €73.3K,--,"24,974th",https://socialblade.com/youtube/channel/UCPSED7BwPPrciBsFHo-yHAg,"4,079th",32.5K,5.5K,689,"174,687th",93706722,20.142M,€55K - €879.8K
@jordentually,https://youtube.com/@jordentually,Jorden Tually,travel,AU,123rd,"May 27th, 2012",+1K,"+729,905",€5K - €79.7K,75th,"24,848th",https://socialblade.com/youtube/channel/UC9hCQoT-VY7vVRaC62WJOJw,"1,137th",2.32M,30K,904,"8,891st",1583815313,21.897M,€59.8K - €956.5K
@dior,https://youtube.com/@dior,Christian Dior,howto,FR,96th,"Oct 14th, 2005",--,"+997,804",€6.8K - €109K,297th,"15,589th",https://socialblade.com/youtube/channel/UC6xD-jKli-_qIYXDTsNv4dw,"1,007th",3.6M,--,1554,"21,891st",749625499,29.934M,€81.7K - €1.3M
@gabinouvilla,https://youtube.com/@gabinouvilla,Gabinouvilla,entertainment,FR,260th,"Aug 8th, 2020",+1.66K,"+1,057,208",€7.2K - €115.4K,"1,028th","15,843rd",https://socialblade.com/youtube/channel/UC9BqltoWZk5k7rcWsDcCocw,"1,255th",1.21M,50K,111,"46,657th",374125533,31.716M,€86.6K - €1.4M
@michou,https://youtube.com/@michou,Michou,entertainment,FR,10th,"Feb 22nd, 2015",+2.66K,"+1,014,608",€6.9K - €110.8K,246th,"15,530th",https://socialblade.com/youtube/channel/UCo3i0nUzZjjLuM7VjAVz4zA,393rd,9.65M,80K,787,"4,449th",2673062087,30.438M,€83.1K - €1.3M
@jfbtv,https://youtube.com/@jfbtv,Jfb TV,film,FR,244th,"Jun 6th, 2017",+1.66K,"+740,453",€5.1K - €80.9K,591st,"15,457th",https://socialblade.com/youtube/channel/UCysOyWMkuz3-NnaHf1WkJjQ,"1,236th",1.38M,50K,1379,"37,363rd",356228894,22.214M,€60.6K - €970.3K
@fff,https://youtube.com/@fff,Fédération Française de Football,sports,FR,148th,"Apr 24th, 2012",+3K,"+1,142,874",€7.8K - €124.8K,232nd,"15,294th",https://socialblade.com/youtube/channel/UCeJlXGyEl7kBgQJKADAHM3A,"1,116th",2.54M,90K,8638,"19,358th",843268902,34.286M,€93.6K - €1.5M
@kidibli_fr,https://youtube.com/@kidibli_fr,KIDIBLI en Français,entertainment,FR,47th,"Dec 25th, 2017",+4K,"+1,211,141",€8.3K - €132.3K,601st,"15,155th",https://socialblade.com/youtube/channel/UCustR5f-R1KVU-jZEqGo3_g,815th,5.49M,120K,577,"6,299th",2085016271,36.334M,€99.2K - €1.6M
@ninho,https://youtube.com/@ninho,Ninho,music,FR,48th,"Sep 14th, 2013",+1K,"+2,447,037",€16.7K - €267.2K,464th,"15,124th",https://socialblade.com/youtube/channel/UCXdHJabqwLJ3NvPfx6XmS5Q,819th,5.43M,30K,91,"2,899th",3690360838,73.411M,€200.4K - €3.2M
@croutonshorts,https://youtube.com/@croutonshorts,Crouton Shorts,,FR,948th,"Jan 20th, 2018",+1.53K,"+1,374,992",€9.4K - €150.1K,--,"14,321st",https://socialblade.com/youtube/channel/UCJt-RSVwDfV7R0SIPEShN1g,"2,117th",234K,46K,760,"106,811th",167225538,41.25M,€112.6K - €1.8M
@benlegoat,https://youtube.com/@benlegoat,Ben,,FR,496th,"Jul 13th, 2021",+1.3K,"+1,217,522",€8.3K - €133K,--,"15,290th",https://socialblade.com/youtube/channel/UCKe8pc3oUVEcquGXNQUOSFg,"1,597th",700K,39K,441,"59,047th",299107720,36.526M,€99.7K - €1.6M
@juliencohen_piano,https://youtube.com/@juliencohen_piano,Julien Cohen,,FR,222nd,"Mar 19th, 2013",+5.66K,"+937,044",€6.4K - €102.3K,--,"14,547th",https://socialblade.com/youtube/channel/UC899MXB8_df7O5HzedKBzaA,"1,213th",1.61M,170K,56,"36,898th",469950606,28.111M,€76.7K - €1.2M
@big_facts-shorts,https://youtube.com/@big_facts-shorts,BIG_Facts,people,US,994th,"Jul 11th, 2023",+600,"+977,423",€6.7K - €106.7K,"1,696th","14,586th",https://socialblade.com/youtube/channel/UCv_RyBxX55Qd_lhT15Z6_2A,"2,174th",182K,18K,188,"70,928th",247861022,29.323M,€80.1K - €1.3M
@ayanakamura,https://youtube.com/@ayanakamura,Aya Nakamura,music,FR,21st,"Jun 20th, 2016",+1K,--,€0 - €0,293rd,"13,907th",https://socialblade.com/youtube/channel/UC-69vhXlCa3XHbF8JHCQHfg,610th,7.49M,30K,52,"2,669th",3873950111,--,€0 - €0
@fitness-muscu,https://youtube.com/@fitness-muscu,Fitness-Muscu,sports,FR,511th,"Jan 12th, 2021",+900,"+1,187,066",€8.1K - €129.6K,639th,"13,939th",https://socialblade.com/youtube/channel/UCev7uCn7hMoehbcMj1sadcQ,"1,617th",680K,27K,832,"25,406th",661179019,35.612M,€97.2K - €1.6M
@heykids_fr,https://youtube.com/@heykids_fr,HeyKids - Chansons Pour Enfants,film,FR,103rd,"Nov 21st, 2016",+2K,"+1,247,647",€8.5K - €136.2K,386th,"15,242nd",https://socialblade.com/youtube/channel/UCl0KdGiwyqLJCdu5XMIz_TQ,"1,022nd",3.46M,60K,419,"6,823rd",1957369710,37.429M,€102.2K - €1.6M
@nukesnippets,https://youtube.com/@nukesnippets,NukeSnippets,,FR,"1,635th","Jan 31st, 2024",+884,"+1,221,366",€8.3K - €133.4K,--,"14,554th",https://socialblade.com/youtube/channel/UCfu9B8R1uex_7Ckq8gF4b8w,"3,381st",48.3K,26.5K,43,"276,449th",58243880,36.641M,€100K - €1.6M
@starfreestyle,https://youtube.com/@starfreestyle,Star Freestyle,entertainment,FR,154th,"Apr 20th, 2014",+1.66K,"+1,023,245",€7K - €111.7K,903rd,"14,517th",https://socialblade.com/youtube/channel/UCwwgI0AzG5Y2lU-C8LiKP2A,"1,123rd",2.46M,50K,912,"12,138th",1239540912,30.697M,€83.8K - €1.3M
@lefatshow,https://youtube.com/@lefatshow,Mcfly et Carlito,entertainment,FR,23rd,"Dec 19th, 2012",+1K,"+1,225,819",€8.4K - €133.9K,430th,"14,758th",https://socialblade.com/youtube/channel/UCDPK_MTu3uTUFJXRVcTJcEw,624th,7.36M,30K,547,"5,796th",2216290496,36.775M,€100.4K - €1.6M
