channel_id,channel_link,channel_name,channel_type,country,country_rank,created_date,daily_subs_average,daily_views_average,estimated_monthly_income,people_rank,social_blade_rank,socialblade_url,subscriber_rank,subscribers,subscribers_last_30_days,uploads,video_view_rank,views,views_last_30_days,yearly_income
@answeredthatforyou,https://youtube.com/@answeredthatforyou,Answered That For You,entertainment,US,729th,"Jan 4th, 2023",+8.33K,"+8,910,872",€60.8K - €973.1K,750th,3rd,https://socialblade.com/youtube/channel/UClWKFXdU50yb6ZGwQXtLlQw,966th,4.03M,250K,1347,"2,547th",4035906101,267.326M,€729.8K - €11.7M
@supermaxim,https://youtube.com/@supermaxim,Super Max,entertainment,US,191st,"Jul 26th, 2017",+23.3K,"+28,718,953",€196K - €3.1M,194th,95th,https://socialblade.com/youtube/channel/UCaUYEpZMc9SLaqb5oLxGOFw,327th,13.1M,700K,2541,375th,13653407193,861.569M,€2.4M - €37.6M
@likenastyaofficial,https://youtube.com/@likenastyaofficial,Like Nastya,entertainment,US,5th,"Dec 6th, 2016",+33.3K,"+26,334,394",€179.7K - €2.9M,5th,91st,https://socialblade.com/youtube/channel/UCJplp5SjeGSdVdwsfb9Q7lQ,9th,115M,1M,881,6th,100308322193,790.032M,€2.2M - €34.5M
@jhousejr.,https://youtube.com/@jhousejr.,J House jr.,entertainment,US,908th,"Jun 1st, 2019",+48.3K,"+32,652,958",€222.9K - €3.6M,927th,82nd,https://socialblade.com/youtube/channel/UC57LcmyyZGQ2azPREsxwWSw,"1,147th",2.5M,1.45M,1478,"9,121st",1789647115,979.589M,€2.7M - €42.8M
@herohardy,https://youtube.com/@herohardy,Hows Hardy,N/A,US,866th,"Jan 2nd, 2022",+1.33K,"+824,780",€5.6K - €90.1K,--,106th,https://socialblade.com/youtube/channel/UC6lVSi_MZ5IZPECkOU0oXoA,"1,105th",2.62M,40K,210,"22,382nd",738158793,24.743M,€67.5K - €1.1M
@filaretiki,https://youtube.com/@filaretiki,Filaretiki,people,US,90th,"Mar 24th, 2021",+20K,"+21,275,320",€145.2K - €2.3M,30th,96th,https://socialblade.com/youtube/channel/UC7Lta_EuGv5BXoLTpUutvBA,212th,24.5M,600K,3369,108th,24719854721,638.26M,€1.7M - €27.9M
@cosefnastyashorts,https://youtube.com/@cosefnastyashorts,COSEFNASTYA SHORTS,N/A,US,703rd,"Apr 1st, 2022",+32.6K,"+27,094,075",€184.9K - €3M,--,107th,https://socialblade.com/youtube/channel/UC5MuvnWFIi1RH_ZBMsrFXuw,940th,4.51M,980K,763,"3,428th",3482371520,812.822M,€2.2M - €35.5M
@lankybox,https://youtube.com/@lankybox,LankyBox,games,US,35th,"Jul 30th, 2016",+30K,"+24,436,334",€166.8K - €2.7M,9th,115th,https://socialblade.com/youtube/channel/UCSf0s2ogUVYpJPuzW1zpAOg,111th,37.2M,900K,11418,25th,42533308964,733.09M,€2M - €32M
@viralhog,https://youtube.com/@viralhog,ViralHog,animals,US,98th,"Aug 22nd, 2014",+20K,"+24,578,478",€167.7K - €2.7M,2nd,105th,https://socialblade.com/youtube/channel/UC3339WgBDKIcxTfywuSmG8w,222nd,23.5M,600K,46405,69th,28856119379,737.354M,€2M - €32.2M
N/A,,USA VS FRANCE,people,US,"1,274th","Aug 13th, 2021",+25.3K,"+23,954,628",€163.5K - €2.6M,"1,098th",110th,https://socialblade.com/youtube/channel/UCZSCu6ZEClV54UkVQHr3lpg,"1,528th",763K,761K,175,"22,883rd",718810616,718.639M,€2M - €31.4M
@belitskay,https://youtube.com/@belitskay,Diana Belitskay,people,US,147th,"Nov 25th, 2014",+33.3K,"+24,771,499",€169.1K - €2.7M,65th,94th,https://socialblade.com/youtube/channel/UCqOwcxgDCjnHNgMt9A3Ua8w,282nd,17.6M,1M,3265,340th,14143711944,743.145M,€2M - €32.5M
@kidsdianashow,https://youtube.com/@kidsdianashow,✿ Kids Diana Show,entertainment,US,3rd,"May 12th, 2015",+33.3K,"+23,796,929",€162.4K - €2.6M,3rd,102nd,https://socialblade.com/youtube/channel/UCk8GzjMOrta8yxDcKfylJYw,6th,122M,1M,1209,5th,102950222819,713.908M,€1.9M - €31.2M
@xinxin889,https://youtube.com/@xinxin889,昕昕,N/A,US,973rd,"Jan 24th, 2024",+31K,"+25,702,180",€175.4K - €2.8M,--,90th,https://socialblade.com/youtube/channel/UCukNqkkPLIBakMKNG-89Bmg,"1,215th",1.75M,931K,71,"13,465th",1322643884,771.065M,€2.1M - €33.7M
@kidsromashow,https://youtube.com/@kidsromashow,★ Kids Roma Show,entertainment,US,42nd,"May 12th, 2015",+50K,"+25,486,670",€173.9K - €2.8M,54th,74th,https://socialblade.com/youtube/channel/UCx790OVgpTC1UVBQIqu3gnQ,131st,34.2M,1.5M,703,358th,13663129486,764.6M,€2.1M - €33.4M
@jasonderulo,https://youtube.com/@jasonderulo,Jason Derulo,music,US,51st,"Jul 21st, 2008",+36.6K,"+30,664,104",€209.3K - €3.3M,52nd,67th,https://socialblade.com/youtube/channel/UCe3yZzUwpmy2eKKmF9svX0Q,149th,31.7M,1.1M,3059,139th,22395592895,919.923M,€2.5M - €40.2M
@vladandniki,https://youtube.com/@vladandniki,Vlad and Niki,entertainment,US,4th,"Apr 23rd, 2018",+33.3K,"+33,232,888",€226.8K - €3.6M,4th,42nd,https://socialblade.com/youtube/channel/UCvlE5gTbOvjiolFlEm-c_Ow,8th,117M,1M,711,7th,90164133425,996.987M,€2.7M - €43.5M
