channel_name,channel_type,country,country_rank,people_rank,social_blade_rank,subscriber_rank,subscribers_last_30_days,video_view_rank,views,yearly_income,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
CHUPITA,games,ES,68.0,207.0,64.0,620.0,-20000.0,12294.0,-0.03548313071576497,-0.6087932794358458,-1.364764309738559,0.7878973817926662,-0.5172046979842811,-0.9781955923841419,0.4967602070944399,0.16049910545044727,0.45306001951710717,0.025785091654023685
Nancy Ajram Fans,music,AE,252.0,883.0,223.0,1268.0,,33230.0,-0.2873128550591819,5.033061380488734,7.554918229349975,-0.21027652635311975,2.3893514118978123,-0.332511683379905,-0.1850371018397319,-1.3270717341774683,-4.422579079479355,1.9376270335591417
ZAMZAM ELECTRONICS TRADING,people,AE,1.0,1.0,31.0,43.0,2100000.0,101.0,8.333484004228197,12.32476229880667,32.161924440654296,1.4677903148665175,1.1251967210898974,1.5960049723762355,9.800020565703576,3.954768319057955,12.901609042950158,6.918566102424269
masteroogwgay shorts,comedy,NL,6.0,98.0,252.0,439.0,280000.0,898.0,2.3173516461652137,3.066647552265025,5.970407566450317,-0.5622210452313781,-0.7534996555853534,0.6051116771220426,-0.5421995569342605,-0.16066854549798193,-2.084525732376238,0.5114182770807174
scottsreality,entertainment,NL,2.0,131.0,446.0,259.0,400000.0,97.0,8.66691441852255,3.4771888915482823,7.562198103653679,0.46829117681192817,-1.0105223511112966,-0.47748169721698547,-0.6331938750984554,-0.8640298708316585,-0.9331900755848261,-0.26147176168386665
Isabell afro,,DK,5.0,,2186.0,915.0,350000.0,6258.0,0.2810167884143648,1.067699733638248,2.5948390812449063,0.4870895984621313,0.4707823167875862,-0.37691541181405663,-0.0011539975049952825,-0.9357794082680962,-0.38324912927787014,-0.6592650938542262
Humor Hoots,,DK,40.0,,6736.0,1537.0,135000.0,45664.0,-0.3319091336676134,0.05691672130823276,0.20866143243990734,-1.0789951248405474,-0.1877811863606549,-0.39207197653096,-0.00981797987742443,0.7914505986467527,-0.46764822112243254,-0.13685685930050306
Spinnin' Records,music,NL,1.0,59.0,3028.0,159.0,200000.0,161.0,6.74428188456323,0.6983541823457424,2.943417371152115,4.160350971403299,-0.48612245619231065,0.237492688954981,0.2507363054861591,-1.2113542373305826,0.37940438344415206,-2.6537420085754126
Subway Surfers,people,DK,1.0,189.0,7912.0,475.0,150000.0,12527.0,-0.03719868824725058,0.105288100330068,0.8891672542828521,0.4566077252703527,-0.5075527487225104,0.24426875665628983,-1.2876648351182365,-1.6387186600975194,1.1253561775448497,-0.6165431412954294
Fenitas,,NL,84.0,,3451.0,1227.0,140000.0,11013.0,0.011618996196373542,0.4752374230361923,0.9566693840437936,-0.9217689140948184,0.03322717550420195,-1.0467071401872625,-0.22702373166454468,0.5447373208647897,-0.6920873020278404,-0.14080351668604013
Horror Skunx,film,NL,11.0,179.0,4447.0,704.0,760000.0,8840.0,0.09676493565152187,0.3274295365868495,2.3875618093235254,-0.5665819022127837,-0.6538264970496834,-0.29066707015771426,0.4144639040507351,0.5930532207277489,0.8933364051567919,-2.1602169982690804
Basel Taha,,EG,916.0,,12531.0,2116.0,74000.0,140816.0,-0.42445998053570627,-0.09209870796834749,-0.2717409228815213,-1.0895693706280867,-0.19566960298153763,-0.513283455294181,-0.04458811124492857,0.8437708142400205,-0.38521453696065755,0.07816285486319269
Yassien Ahmed,entertainment,EG,102.0,839.0,12541.0,1051.0,160000.0,9353.0,0.07331757631253051,-0.14042364303528898,0.07088004888262031,-0.4530766863868276,-0.3090580076749201,0.021389527921040378,-0.4723814028657428,-0.2523281910914379,0.4581098166902642,-0.32299859261629676
MrJLD03,,NZ,1534.0,,167329.0,15427.0,1460.0,1786086.0,-0.46791135818951657,-0.5791564629390494,-1.5766353753073836,0.026182677614618587,0.022764188963728983,-0.8987668220104881,0.060091760697737466,-0.12052255619491159,0.48988511491739256,0.5244613603903265
El Sobky Productions - السبكي,entertainment,EG,26.0,456.0,12685.0,655.0,50000.0,2261.0,1.0666482503299373,-0.16559626658769866,0.052003049405939375,0.7156073929239176,-0.40070149512701536,2.465869337109389,-0.35614869151158574,-1.4074814912051783,0.41064318743620076,-0.2733791043466439
رؤية - vision,,EG,843.0,,12780.0,2030.0,58000.0,119683.0,-0.41588130825786457,-0.21559318403081495,-0.5715168118626787,-0.21232633535209344,0.0601950582561512,-0.03987198425514894,0.010163312597905321,-0.10802541457905526,-0.09627287615202132,0.15676393768621186
ويدنج تون Wedding Tone,,EG,119.0,,12828.0,1083.0,90000.0,15799.0,-0.11695264573415728,-0.14144541004295136,-0.1639080976099493,-0.07882092482370483,-0.18067115655186966,1.3054919820881463,0.19627138423213286,-0.2139354715377448,-0.2121448810160214,-0.15548637837896978
MrBiggest,,EG,423.0,,12938.0,1521.0,51000.0,24922.0,-0.2300659668869884,-0.19079211211755523,-0.527243114535437,-0.1718764531212591,0.07102146966664999,-0.6503483511056943,-0.08885298113913587,-0.08362931637679095,-0.045584165197372586,0.1408797215078235
Mohamed Elsayed - محمد السيد,,EG,405.0,,12993.0,1500.0,15000.0,10568.0,0.022062639331319536,-0.23992981639513725,-0.573822601828034,-0.503919538794161,-0.15176383236697316,2.2610461810070284,0.2243164409873133,0.17236672152246318,-0.4535246952707457,0.2116887536449223
Amazon Prime Video España,entertainment,ES,358.0,991.0,10247.0,1207.0,110000.0,22827.0,-0.20936806023859825,-0.043077113577999836,0.14243291348197334,-0.23252798424454074,-0.5264166237350525,1.844530064153052,-0.48289516359487533,-0.5016529539388389,-0.026282512577375017,0.10332102132345984
Disney Junior España,entertainment,ES,37.0,226.0,10277.0,359.0,20000.0,1357.0,1.6910849914665869,-0.06766918769423771,0.2383531951070622,1.0735388876856422,0.020144883273613422,1.1309030718959485,-0.653948101999129,-1.4775641810383098,0.7180546921564389,-0.56971005920588
الملاك الصغير - أغاني لل�…,education,AE,67.0,287.0,16660.0,893.0,40000.0,4743.0,0.4384360107433935,-0.2647076663309501,-0.544489303504698,0.7443896883380515,-0.15591474837935693,1.7795497929833914,1.2074887524446112,0.15810913840002333,-0.8496458084522441,-0.20466764121993572
SwimGym,sports,NL,555.0,1153.0,41566.0,2188.0,26000.0,332584.0,-0.4533635375744948,-0.454733107778707,-1.3453217775096848,0.5849726584935375,0.28983981080524457,-1.0680795864144093,0.9185140976157348,0.3014997822497156,-0.4002422273500079,0.2788582944581911
Dylanhaegens,entertainment,NL,61.0,955.0,41764.0,1169.0,10000.0,10688.0,0.015760505213613257,-0.4604921581855314,-1.061918340706225,0.6740753188503347,0.13252388095751638,-0.058051138251175936,-0.5690005103667889,-1.4021666163904212,0.9482399023220743,0.3306169210917455
WarWolfx,,EG,1020.0,,13356.0,2261.0,121000.0,344895.0,-0.4549889065439772,-0.1657355984523799,-0.3627383305112775,-0.2303362746458728,0.11755382434780658,-0.8146952355993808,-0.039371250715587384,-0.04691314050009376,0.004173082766775351,-0.010762617430854356
Fantastic Guest,entertainment,EG,1043.0,1974.0,13784.0,2371.0,86300.0,310980.0,-0.4530196525897285,-0.16638581382089232,-0.34047280536389124,-0.31918029528721964,0.05674997917530563,0.3472192338265079,-0.5208240807719349,-0.6898052460557879,0.34074517188701614,0.13526483000967474
Nadora AKM,entertainment,EG,536.0,1430.0,13433.0,1674.0,,346135.0,-0.45505262387337597,-0.16571237647493303,-0.22379101089345904,-0.7286295908865043,-0.12885088898412211,-0.41319396955182014,-0.5223371707161633,-0.0998664568558016,0.4227403271956149,0.0743328742728438
Mohamed saeed سعداوي,people,EG,552.0,1265.0,13488.0,1694.0,44000.0,41065.0,-0.3155453203664675,-0.16503893912897372,-0.23238053164585415,-0.39139782077088153,-0.017272723480302912,1.2175365153511062,-1.1661255204892031,-1.4141945649841292,0.7696810765849366,0.2674446399539523
