channel_id,channel_link,channel_name,channel_type,country,country_rank,daily_subs_average,daily_views_average,estimated_monthly_income,people_rank,social_blade_rank,socialblade_url,subscriber_rank,subscribers,subscribers_last_30_days,uploads,video_view_rank,views,views_last_30_days,yearly_income,channel_age
@answeredthatforyou,https://youtube.com/@answeredthatforyou,Answered That For You,entertainment,US,729.0,8330.0,8910872.0,516950.0,750.0,3.0,https://socialblade.com/youtube/channel/UClWKFXdU50yb6ZGwQXtLlQw,966.0,4030000.0,250000.0,1347.0,2547.0,4035906101.0,267326000.0,6214900.0,1.4493150684931506
@nickandcarrie,https://youtube.com/@nickandcarrie,NickandCarrie,people,AU,23.0,10000.0,14995878.0,851150.0,229.0,214.0,https://socialblade.com/youtube/channel/UCR1Jltq7vMzGQVtRd-DR5AA,547.0,8170000.0,300000.0,1067.0,850.0,8260789746.0,449876000.0,10450000.0,
@4nonblondesofficial,https://youtube.com/@4nonblondesofficial,4 Non Blondes,,US,960.0,334.0,666267.0,38650.0,,7.0,https://socialblade.com/youtube/channel/UCCgMsiNiRDhisYQk7t3MNqw,1201.0,1700000.0,10000.0,2.0,6619.0,2014136079.0,19988000.0,463850.0,
@jasminandjames,https://youtube.com/@jasminandjames,Jasmin and James,entertainment,AU,133.0,40000.0,17116870.0,1008400.0,,352.0,https://socialblade.com/youtube/channel/UC5OVPGQqCUm0CCyVzELGITQ,1155.0,2480000.0,1200000.0,2570.0,15960.0,1175498087.0,513506000.0,11900000.0,2.7616438356164386
@mavigadgets,https://youtube.com/@mavigadgets,MaviGadget,entertainment,US,66.0,66600.0,69789280.0,4038150.0,75.0,8.0,https://socialblade.com/youtube/channel/UCJfNJmcv6LXCDsaa2kB_-7A,177.0,28700000.0,2000000.0,4846.0,103.0,25521582943.0,2094000000.0,48600000.0,6.578082191780822
@jiembasands,https://youtube.com/@jiembasands,Jiemba Sands,people,AU,13.0,12300.0,8580579.0,497800.0,137.0,1067.0,https://socialblade.com/youtube/channel/UCDb8-E9XyZnyAA7QB_SD8Sg,365.0,10000000.0,370000.0,572.0,1562.0,5662717481.0,257417000.0,5951350.0,12.167123287671233
@depechemodevevo,https://youtube.com/@depechemodevevo,DepecheModeVEVO,music,US,1685.0,,64366222.0,3719650.0,1527.0,9.0,https://socialblade.com/youtube/channel/UC90vR_MFeheV3V6nmjvXIng,1951.0,369000.0,,170.0,4406.0,2690602696.0,1931000000.0,44800000.0,
@diaryof4,https://youtube.com/@diaryof4,Diary of 4,people,CA,23.0,32600.0,56830004.0,3293950.0,154.0,17.0,https://socialblade.com/youtube/channel/UCT6zcE-d5Rlc2xto-1lNjgA,398.0,9900000.0,980000.0,2304.0,296.0,15674988097.0,1705000000.0,39600000.0,15.665753424657535
@secretvlog,https://youtube.com/@secretvlog,Secret Vlog,comedy,DE,8.0,16600.0,19206720.0,1115550.0,60.0,188.0,https://socialblade.com/youtube/channel/UCgqy_Kgctp5quGUsvIyqKVw,329.0,12800000.0,500000.0,2595.0,369.0,13574038361.0,576202000.0,13400000.0,4.482191780821918
@lefootenvideo,https://youtube.com/@lefootenvideo,LE FOOT EN VIDÉO,sports,FR,172.0,17000.0,14352935.0,849000.0,258.0,273.0,https://socialblade.com/youtube/channel/UC960cXgEv6mCZ5iGnWSd0oQ,1149.0,2250000.0,510000.0,248.0,11289.0,1365496455.0,430588000.0,10000000.0,6.96986301369863
@mrbeast,https://youtube.com/@mrbeast,MrBeast,entertainment,US,1.0,200000.0,66275582.0,3826150.0,1.0,11.0,https://socialblade.com/youtube/channel/UCX6OQ3DkcsbYNE6H8uQQuVA,2.0,259000000.0,6000000.0,794.0,23.0,49013743635.0,1988000000.0,46100000.0,12.32876712328767
@howridiculous,https://youtube.com/@howridiculous,How Ridiculous,sports,AU,4.0,6660.0,6497428.0,376900.0,7.0,1177.0,https://socialblade.com/youtube/channel/UC5f5IV0Bf79YLp_p9nfInRA,243.0,21400000.0,200000.0,715.0,431.0,12226611773.0,194923000.0,4516050.0,14.778082191780822
@boxtoxtv,https://youtube.com/@boxtoxtv,boxtoxtv,comedy,DE,5.0,26600.0,20083026.0,1168550.0,29.0,175.0,https://socialblade.com/youtube/channel/UCCfKlFlKYBxZ-UU2dWc17IQ,261.0,19700000.0,800000.0,1189.0,319.0,14749384187.0,602491000.0,13950000.0,1.8027397260273972
@sierrarhiafam,https://youtube.com/@sierrarhiafam,Sierra & Rhia FAM,entertainment,CA,9.0,23300.0,29219450.0,1699700.0,164.0,55.0,https://socialblade.com/youtube/channel/UCe6n0z9UbsxYCS8P83f84tw,296.0,16100000.0,700000.0,3072.0,260.0,16344956383.0,876583000.0,20350000.0,4.367123287671233
@tiboinshape,https://youtube.com/@tiboinshape,Tibo InShape,entertainment,FR,2.0,40000.0,30710094.0,1804800.0,144.0,88.0,https://socialblade.com/youtube/channel/UCpWaR3gNAQGsX48cIlQC0qw,275.0,18500000.0,1200000.0,3011.0,466.0,12001454499.0,921303000.0,21350000.0,15.846575342465753
@tsurikishow,https://youtube.com/@tsurikishow,Tsuriki Show,comedy,DE,1.0,13300.0,11293400.0,638550.0,12.0,375.0,https://socialblade.com/youtube/channel/UCymK_3BWUcoYVVf5D_GmACQ,161.0,30200000.0,400000.0,3936.0,37.0,37781772249.0,338802000.0,7862450.0,4.93972602739726
@chochar1979,https://youtube.com/@chochar1979,شوشع الاسطورة,people,FR,581.0,6600.0,8099510.0,469900.0,1268.0,930.0,https://socialblade.com/youtube/channel/UCrnGvTAge7z-MO5GjGVVYXQ,1705.0,641000.0,198000.0,2227.0,26383.0,685849779.0,242985000.0,5631650.0,1.8821917808219177
@borzah,https://youtube.com/@borzah,Borzah,entertainment,CA,108.0,,-7492499.0,0.0,753.0,134.0,https://socialblade.com/youtube/channel/UC4aNrJsAGP-uTi2pSm63-SA,969.0,3950000.0,,1923.0,9161.0,1547304047.0,-224775000.0,0.0,4.347945205479452
@cocomelon,https://youtube.com/@cocomelon,Cocomelon - Nursery Rhymes,entertainment,US,2.0,33300.0,,0.0,1.0,12.0,https://socialblade.com/youtube/channel/UCbCmjCuTUZos6Inko4u57UQ,4.0,175000000.0,1000000.0,1170.0,2.0,181000000000.0,,0.0,
@vindooly,https://youtube.com/@vindooly,Vindooly,games,AU,73.0,6330.0,5130067.0,297600.0,492.0,1566.0,https://socialblade.com/youtube/channel/UCj4hfQEWcGtF08SLEZCZc5Q,1005.0,3670000.0,190000.0,630.0,6071.0,2162834207.0,153902000.0,3560100.0,14.605479452054794
@bouncepatrol,https://youtube.com/@bouncepatrol,Bounce Patrol - Kids Songs,music,AU,1.0,3330.0,6143273.0,356350.0,60.0,1761.0,https://socialblade.com/youtube/channel/UC56cowXhoqRWHeqfSJkIQaA,169.0,29100000.0,100000.0,370.0,136.0,22382568308.0,184298000.0,4301550.0,
@stokestwins,https://youtube.com/@stokestwins,Stokes Twins,people,US,19.0,306000.0,33950070.0,1965850.0,2.0,13.0,https://socialblade.com/youtube/channel/UCbp9MyKCTEww4CxEzc_Tp0Q,57.0,50700000.0,9200000.0,297.0,856.0,8378808171.0,1019000000.0,23650000.0,16.19178082191781
@mini-mimi-smol,https://youtube.com/@mini-mimi-smol,Mini-mimi,howto,FR,173.0,8330.0,6793692.0,394150.0,433.0,1094.0,https://socialblade.com/youtube/channel/UCVAHHxJctgVm6aWu4Yj2ipQ,1150.0,2210000.0,250000.0,1594.0,7733.0,1799425426.0,203811000.0,4728200.0,1.2547945205479452
@germanspidey,https://youtube.com/@germanspidey,German Spidey,entertainment,DE,14.0,20000.0,12077771.0,691200.0,322.0,437.0,https://socialblade.com/youtube/channel/UCZAoGCaaxobl_C6khvgQAtg,499.0,8620000.0,600000.0,1341.0,689.0,9302477398.0,362333000.0,8394600.0,3.117808219178082
@theweeknd,https://youtube.com/@theweeknd,The Weeknd,music,CA,3.0,6660.0,9322672.0,531800.0,42.0,185.0,https://socialblade.com/youtube/channel/UC0WP5P-ufpRfjbNrmOWwLBQ,124.0,35100000.0,200000.0,172.0,84.0,27153599873.0,279680000.0,6481750.0,13.315068493150685
@colgatecolombia,https://youtube.com/@colgatecolombia,Colgate - Colombia,people,AF,67.0,27.0,381997.0,22150.0,1942.0,45114.0,https://socialblade.com/youtube/channel/UCyx7fzjvySVkPb-21NL8xzg,2566.0,86200.0,800.0,270.0,34912.0,491501950.0,11460000.0,265950.0,14.394520547945206
@celinedept,https://youtube.com/@celinedept,Celine Dept,sports,BE,1.0,100000.0,40158107.0,2337050.0,5.0,24.0,https://socialblade.com/youtube/channel/UC1a2ZCw7tugRZYRMnecNj3A,167.0,30000000.0,3000000.0,734.0,248.0,16638420524.0,1205000000.0,27950000.0,
@cemi,https://youtube.com/@cemi,Celine & Michiel,entertainment,BE,2.0,31600.0,8839667.0,512800.0,215.0,715.0,https://socialblade.com/youtube/channel/UClk5AUhvoAzN41inRfdLPYw,348.0,10900000.0,950000.0,858.0,643.0,9695000263.0,265190000.0,6162000.0,4.967123287671233
@thewindowmaster,https://youtube.com/@thewindowmaster,Timothy Tancré,,BE,13.0,3660.0,2301998.0,133550.0,,8939.0,https://socialblade.com/youtube/channel/UCZit6i1Efx743PTt_Te4lGA,1137.0,2340000.0,110000.0,965.0,6624.0,2009588301.0,69060000.0,1594250.0,2.243835616438356
@joppicr,https://youtube.com/@joppicr,Joppi,,FI,229.0,234.0,235326.0,13650.0,,2947.0,https://socialblade.com/youtube/channel/UCcKBlZbJw7tSKciRfkLgVyw,2243.0,136000.0,7000.0,1058.0,136316.0,122536598.0,7060000.0,163850.0,1.5972602739726027
@anayakandhal,https://youtube.com/@anayakandhal,Anaya Kandhal,entertainment,IN,54.0,93300.0,110412186.0,6426800.0,67.0,1.0,https://socialblade.com/youtube/channel/UC4wEPe5mrHGAUjjTfXH_C-Q,162.0,30600000.0,2800000.0,1302.0,115.0,25093930467.0,3312000000.0,76850000.0,7.742465753424658
