channel_name,channel_type,country,country_rank,daily_subs_average,daily_views_average,estimated_monthly_income,people_rank,social_blade_rank,subscriber_rank,subscribers,subscribers_last_30_days,uploads,video_view_rank,views,views_last_30_days,yearly_income,channel_age,subs_views_interaction,subs_per_upload,log_views_last_30_days,mean_income_per_type,channel_name_length
Answered That For You,entertainment,US,729.0,0.1400734737881165,0.6228457043971191,0.6152915291495048,750.0,3.0,966.0,-0.0403052760147317,250000.0,-0.1255365168586068,2547.0,0.0862587764001181,0.6228340430463355,0.6176195408715359,-1.1925077698814666,0.08724416144891081,0.3210641574525123,0.4841740300980375,0.3451460041477131,21.0
NickandCarrie,people,AU,23.0,0.2445453624824629,1.386585298531077,1.339000351041003,229.0,214.0,547.0,0.2644811746164429,300000.0,-0.1350941413779345,850.0,0.4798338117830573,1.3865625128453505,1.3819858230378228,,0.33908300444213624,-1.9577545844607718,0.8698540514829312,0.1321637063251685,13.0
4 Non Blondes,,US,960.0,-0.360140431601101,-0.411948883561348,-0.4204652916485306,,7.0,1201.0,-0.2118396793892816,10000.0,-0.1714472489246631,6619.0,-0.10208208095971,-0.4119458652700094,-0.420350921939832,,0.14835944872337556,1.235596842282186,-0.5309362694539811,,13.0
Jasmin and James,entertainment,AU,133.0,2.1212858779497625,1.652794661223796,1.679524624656915,,352.0,1155.0,-0.1544161452123937,1200000.0,-0.0837901783331148,15960.0,-0.180206593989909,1.6527692646027394,1.643687107338339,-0.9140658373774896,3.5060499740048003,1.8428907574166926,0.975604099870437,0.3451460041477131,16.0
MaviGadget,entertainment,US,66.0,3.785329134997435,8.26379965209109,8.24043666273521,75.0,8.0,177.0,1.7758980421183783,2000000.0,-0.006100344740294,103.0,2.0877875127770813,8.265030366473594,8.267436854806576,-0.1043171693648803,31.281201588842066,-291.1143743054742,2.226247137279021,0.3451460041477131,10.0
Jiemba Sands,people,AU,13.0,0.3884288020016226,0.5813900605135655,0.5738222773864223,137.0,1067.0,365.0,0.3992056201852954,370000.0,-0.1519906561531745,1562.0,0.2378067006139856,0.5813780835435229,0.5700530764043628,1.081531561967297,0.2258286447009351,-2.6265142232360676,0.45829667166370225,0.1321637063251685,12.0
DepecheModeVEVO,music,US,1685.0,,7.583142292692443,7.550726130800912,1527.0,9.0,1951.0,-0.3098277870680481,,-0.1657126742130664,4406.0,-0.0390648726547574,7.583092592837661,7.581599006294878,,,1.8696686209389424,2.14979429061191,-0.11112798307976889,15.0
Diary of 4,people,CA,23.0,1.6583565508011622,6.637258578424121,6.628874408840377,154.0,17.0,398.0,0.3918436286241559,980000.0,-0.0928699216264761,296.0,1.1705139875044304,6.63758377785778,6.643084055699924,1.823849615845332,11.00694124289085,-4.219273816124832,2.033081293715166,0.1321637063251685,10.0
Secret Vlog,comedy,DE,8.0,0.657428275885269,1.9150953378050275,1.911557539874372,60.0,188.0,329.0,0.6053413838972009,500000.0,-0.082936819001032,369.0,0.9747970314498982,1.915068471080521,1.9144125738561144,-0.5490104436144468,1.259037826089076,-7.298825674633947,1.0698933087480362,0.34790651881194223,11.0
LE FOOT EN VIDÉO,sports,FR,172.0,0.6824514827581663,1.3058884141120195,1.334344534263424,258.0,273.0,1149.0,-0.1713487258030145,510000.0,-0.163050193096968,11289.0,-0.1625070262167708,1.3058679375208728,1.3007681830824902,-0.0211914984920855,0.891205484527458,1.0508955711638517,0.8354571511353238,-0.03718867569354867,16.0
